Country/Region,Date,Type,Reference
Mainland China,23-01-2020,Full,https://en.wikipedia.org/wiki/2019%E2%80%9320_coronavirus_pandemic_in_mainland_China
Hong Kong,23-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Hong_Kong
Macau,26-01-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Macau
Taiwan,02-02-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Taiwan
US,23-03-2020,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
Japan,27-02-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Japan
Thailand,22-03-2020,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Thailand
South Korea,23-02-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_South_Korea
Singapore,26-03-2020,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Singapore
Philippines,16-03-2020,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Philippines
Malaysia,18-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Malaysia
Vietnam,19-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Vietnam
Australia,25-03-2020,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Australia
Mexico,14-03-2020,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Mexico
Brazil,,,https://www.aljazeera.com/ajimpact/brazil-bolsonaro-denounces-mayors-virus-lockdowns-200325223340032.html
Colombia,25-03-2020,Full,https://www.theguardian.com/world/2020/mar/23/colombian-groups-exploiting-coronavirus-lockdown-to-kill-activists
France,16-03-2020,Full,https://www.businessinsider.com/countries-on-lockdown-coronavirus-italy-2020-3?r=US&IR=T#spain-became-the-second-european-country-to-impose-a-nationwide-quarantine-on-march-14-on-thursday-the-lockdown-was-extended-to-at-least-april-12-21
Nepal,24-03-2020,Full,https://edition.cnn.com/travel/article/nepal-trekkers-stranded-coronavirus-scli-intl/index.html
Canada,16-03-2020,Partial,https://itv.com/news/2020-03-17/borders-slam-shut-as-world-goes-into-coronavirus-lockdown/
Cambodia,28-03-2020,Partial,https://www.bangkokpost.com/world/1888300/cambodia-steps-up-travel-curbs-on-foreigners
Sri Lanka,21-03-2020,Full,https://www.deccanherald.com/international/china-offers-to-build-makeshift-covid-19-hospitals-in-india-818718.html
Ivory Coast,24-03-2020,Partial,
Germany,20-03-2020,Full,https://www.politico.eu/article/german-state-of-bavaria-heads-for-full-coronavirus-lockdown/
Finland,27-03-2020,Full,http://global.chinadaily.com.cn/a/202003/27/WS5e7ce399a310128217282530.html
United Arab Emirates,24-03-2020,Full,https://uk.reuters.com/article/uk-health-coronavirus-saudi/saudi-reports-first-coronavirus-death-uae-gears-up-for-lockdown-idUKKBN21B1YM
India,24-03-2020,Full,https://www.businessinsider.com/countries-on-lockdown-coronavirus-italy-2020-3?r=US&IR=T#the-uk-went-into-full-coronavirus-lockdown-on-monday-evening-7
Italy,11-03-2020,Full,https://www.businessinsider.com/countries-on-lockdown-coronavirus-italy-2020-3?r=US&IR=T#the-uk-went-into-full-coronavirus-lockdown-on-monday-evening-7
